Sexo,Edad,muy_mala,mala,regular,buena,muy_buena
Ambos sexos,TOTAL,1.51,5.53,17.45,49.76,25.75
Ambos sexos,15-24,0.31,0.52,6.85,38.25,54.07
Ambos sexos,25-34,0.31,1.03,8.97,48.63,41.06
Ambos sexos,35-44,0.49,2.41,11.53,54.32,31.25
Ambos sexos,45-54,1.25,4.85,14.58,56.05,23.28
Ambos sexos,55-64,1.68,6.31,22,56.12,13.89
Ambos sexos,65-74,2.89,8.69,27.57,50.67,10.17
Ambos sexos,75-84,3.42,16.43,36.29,37.66,6.21
Ambos sexos,85+,7.47,22.2,38.17,29.92,2.23
H,TOTAL,1.13,4.37,15.23,51.1,28.17
H,15-24,0.32,0.33,5.45,34.91,58.99
H,25-34,0.2,0.64,6.85,48.47,43.84
H,35-44,0.5,2.14,10.22,55.85,31.29
H,45-54,1.11,3.8,12.99,56.86,25.24
H,55-64,1.59,5.78,20.41,57.48,14.74
H,65-74,2.3,7.69,23.98,54.66,11.38
H,75-84,1.74,14.11,34.51,42.45,7.2
H,85+,5.53,15.45,40.56,35.16,3.28
M,TOTAL,1.87,6.62,19.56,48.49,23.45
M,15-24,0.3,0.72,8.32,41.78,48.89
M,25-34,0.41,1.42,11.09,48.79,38.28
M,35-44,0.48,2.67,12.84,52.79,31.21
M,45-54,1.38,5.9,16.18,55.24,21.3
M,55-64,1.77,6.82,23.52,54.82,13.07
M,65-74,3.39,9.53,30.59,47.33,9.16
M,75-84,4.84,18.38,37.78,33.62,5.38
M,85+,8.51,25.82,36.88,27.11,1.67
